Score,Mesure,Detecteur,dB,Plot_it
0.06163,Sensitivity,HIL,0,1
0.09427,Sensitivity,HIL,5,1
0.27447,Sensitivity,HIL,10,1
0.3454,Sensitivity,HIL,15,1
0.6218,Sensitivity,MNI,0,1
0.6786,Sensitivity,MNI,5,1
0.76423,Sensitivity,MNI,10,1
0.8987,Sensitivity,MNI,15,1
0.15,Sensitivity,SLL,0,1
0.6776,Sensitivity,SLL,5,1
0.9989,Sensitivity,SLL,10,1
1.0,Sensitivity,SLL,15,1
0.03784,Sensitivity,STE,0,1
0.05364,Sensitivity,STE,5,1
0.19444,Sensitivity,STE,10,1
0.29305,Sensitivity,STE,15,1
0.12332,Sensitivity,Delphos,0,1
0.77829,Sensitivity,Delphos,5,1
0.8734,Sensitivity,Delphos,10,1
0.89635,Sensitivity,Delphos,15,1
0.3,Sensitivity,MOSSDET,0,1
0.8,Sensitivity,MOSSDET,5,1
0.89,Sensitivity,MOSSDET,10,1
0.92,Sensitivity,MOSSDET,15,1
0.45108,Precision,HIL,0,1
0.4282,Precision,HIL,5,1
0.42193,Precision,HIL,10,1
0.42521,Precision,HIL,15,1
0.09499,Precision,MNI,0,1
0.1024,Precision,MNI,5,1
0.11133,Precision,MNI,10,1
0.12389,Precision,MNI,15,1
0.5214,Precision,SLL,0,1
0.8182,Precision,SLL,5,1
0.7286,Precision,SLL,10,1
0.6257,Precision,SLL,15,1
0.4844,Precision,STE,0,1
0.51672,Precision,STE,5,1
0.53,Precision,STE,10,1
0.5301,Precision,STE,15,1
0.91612,Precision,Delphos,0,1
0.97224,Precision,Delphos,5,1
0.9299,Precision,Delphos,10,1
0.9159,Precision,Delphos,15,1
0.85,Precision,MOSSDET,0,1
0.94,Precision,MOSSDET,5,1
0.94,Precision,MOSSDET,10,1
0.94,Precision,MOSSDET,15,1
0.10844361,Fmeasure,HIL,0,1
0.15452146,Fmeasure,HIL,5,1
0.33258796,Fmeasure,HIL,10,1
0.38117215,Fmeasure,HIL,15,1
0.16480359,Fmeasure,MNI,0,1
0.17794786,Fmeasure,MNI,5,1
0.19434813,Fmeasure,MNI,10,1
0.21776067,Fmeasure,MNI,15,1
0.23297587,Fmeasure,SLL,0,1
0.74129204,Fmeasure,SLL,5,1
0.84260323,Fmeasure,SLL,10,1
0.76976072,Fmeasure,SLL,15,1
0.07019645,Fmeasure,STE,0,1
0.09719076,Fmeasure,STE,5,1
0.28450444,Fmeasure,STE,10,1
0.37744228,Fmeasure,STE,15,1
0.21737843,Fmeasure,Delphos,0,1
0.86452065,Fmeasure,Delphos,5,1
0.90076489,Fmeasure,Delphos,10,1
0.90601955,Fmeasure,Delphos,15,1
0.44,Fmeasure,MOSSDET,0,1
0.86,Fmeasure,MOSSDET,5,1
0.91,Fmeasure,MOSSDET,10,1
0.93,Fmeasure,MOSSDET,15,1
